Year,Round,Circuit,TeamName,DriverA,DriverB,Quali_Delta,Grid_Delta,Points_Delta,Experience_Delta,FavoriteTrackAdvantage,TrackType,Target
2021,13,Zandvoort,Ferrari,SAI,LEC,1.0,1.0,10.0,0,3.5,permanent,0
2021,13,Zandvoort,McLaren,NOR,RIC,3.0,3.0,49.0,0,-5.0,permanent,1
2021,13,Zandvoort,McLaren,RIC,NOR,-3.0,-3.0,-49.0,0,5.0,permanent,0
2021,13,Zandvoort,Mercedes,HAM,BOT,-1.0,-1.0,90.0,0,-3.166666666666667,permanent,1
2021,13,Zandvoort,Mercedes,BOT,HAM,1.0,1.0,-90.0,0,3.166666666666667,permanent,0
2021,13,Zandvoort,Red Bull Racing,VER,PER,-15.0,1.0,102.0,0,-4.5,permanent,1
2021,13,Zandvoort,Red Bull Racing,PER,VER,15.0,-1.0,-102.0,0,4.5,permanent,0
2021,15,Sochi,Alfa Romeo Racing,RAI,GIO,-2.0,-4.0,1.0,0,-8.0,permanent,1
2021,15,Sochi,Alfa Romeo Racing,GIO,RAI,2.0,4.0,-1.0,0,8.0,permanent,0
2021,15,Sochi,AlphaTauri,GAS,TSU,-1.0,-1.0,52.0,0,-4.0,permanent,1
2021,15,Sochi,AlphaTauri,TSU,GAS,1.0,1.0,-52.0,0,4.0,permanent,0
2021,15,Sochi,Alpine,ALO,OCO,-4.0,-3.0,-5.0,0,-8.0,permanent,1
2021,15,Sochi,Alpine,OCO,ALO,4.0,3.0,5.0,0,8.0,permanent,0
2021,15,Sochi,Aston Martin,STR,VET,-3.0,-3.0,-26.0,0,-1.0,permanent,1
2021,15,Sochi,Aston Martin,VET,STR,3.0,3.0,26.0,0,1.0,permanent,0
2021,15,Sochi,Ferrari,SAI,LEC,-13.0,-17.0,6.0,0,-12.0,permanent,1
2021,15,Sochi,Ferrari,LEC,SAI,13.0,17.0,-6.0,0,12.0,permanent,0
2021,15,Sochi,McLaren,RIC,NOR,4.0,4.0,-50.0,0,-3.0,permanent,1
2021,15,Sochi,McLaren,NOR,RIC,-4.0,-4.0,50.0,0,3.0,permanent,0
2021,15,Sochi,Mercedes,HAM,BOT,-3.0,-12.0,93.0,0,-4.0,permanent,1
2021,15,Sochi,Mercedes,BOT,HAM,3.0,12.0,-93.0,0,4.0,permanent,0
2021,15,Sochi,Red Bull Racing,VER,PER,11.0,12.0,123.0,0,-7.0,permanent,1
2021,15,Sochi,Red Bull Racing,PER,VER,-11.0,-12.0,-123.0,0,7.0,permanent,0
2021,16,Istanbul,Alfa Romeo Racing,GIO,RAI,-1.0,-1.0,-5.0,0,-1.0,permanent,1
2021,16,Istanbul,Alfa Romeo Racing,RAI,GIO,1.0,1.0,5.0,0,1.0,permanent,0
2021,16,Istanbul,AlphaTauri,GAS,TSU,-5.0,-5.0,52.0,0,-8.0,permanent,1
2021,16,Istanbul,AlphaTauri,TSU,GAS,5.0,5.0,-52.0,0,8.0,permanent,0
2021,16,Istanbul,Alpine,OCO,ALO,6.0,7.0,-3.0,0,-6.0,permanent,1
2021,16,Istanbul,Alpine,ALO,OCO,-6.0,-7.0,3.0,0,6.0,permanent,0
